,빵,초콜릿,사탕,껌,아이스크림,비스킷,스낵과자,삼각김밥,커피,주스,탄산음료
2003,51.844,52.824,53.595,79.532,60.665,38.89,47.836,0.0,61.351,62.51,43.144
2004,52.222,52.163,57.092,79.315,59.647,40.425,48.78,0.0,62.451,65.147,45.429
2005,52.65,51.827,59.307,79.389,61.473,42.022,54.341,0.0,66.209,66.288,48.247
2006,52.79,51.43,60.488,79.627,62.293,44.133,54.731,0.0,72.107,66.581,49.514
2007,53.325,54.255,61.935,83.285,61.073,47.848,59.902,0.0,76.834,71.779,51.246
2008,60.429,66.974,68.884,93.341,69.864,63.372,70.578,0.0,83.88,81.082,55.391
2009,64.215,75.901,76.677,101.623,77.055,72.042,74.87,0.0,90.809,89.81,60.759
2010,65.23,78.028,76.3,104.97,77.469,72.088,73.448,82.887,93.305,93.236,63.388
2011,69.442,78.23,85.755,105.451,84.661,80.451,78.658,85.291,98.56,102.297,69.411
2012,72.246,78.405,92.87,107.803,88.062,82.458,83.127,85.624,102.774,106.903,74.473
2013,77.474,78.841,100.535,107.761,89.42,87.849,86.097,87.924,103.955,107.338,78.843
2014,82.16,92.026,103.635,106.577,96.282,99.275,91.589,88.302,102.978,106.137,84.33
2015,83.079,96.244,101.58,106.142,100.124,100.077,92.114,88.167,104.659,104.896,90.371
2016,86.219,96.382,100.025,105.089,99.96,100.565,91.45,87.627,105.097,103.903,89.952
2017,87.894,95.648,99.007,103.174,97.181,103.519,94.874,88.467,99.259,103.108,94.172
2018,93.488,96.102,98.896,101.438,96.387,101.002,96.02,92.394,100.116,101.674,94.475
2019,98.061,98.616,98.595,99.399,98.266,101.027,99.348,96.684,100.767,101.516,95.432
2020,100,100,100,100,100,100,100,100,100,100,100
2021,105.51,99.6,98.07,99.34,98.68,104.26,101.81,101.8,100.78,102.11,105.22
2022,117.94,105.62,101.26,105.4,105.74,118.38,108.48,103.15,109.62,108.69,111.98
2023,129.2,122.26,112.45,111.28,117.13,123.9,115.8,106.16,123.44,117.75,115.08
